Brand Code, Brand Name, Chain Name
3727, Unlisted Collections, Unlimited Collections
3728, Wangz, Wangz
3729, Flexistay, Flexistay
3751, CN HNA, CN HNA
4797, CN HNA Grand Hotel, CN HNA
4798, CN HNA Business Hotel, CN HNA
4799, CN HNA Express Inn, CN HNA
3744, CN TANGLA, CN HNA
4800, CN TANG Hotel, CN HNA
3746, My Apartments, My Apartments
3739, Cantaloupe Hotels, Cantaloupe Hotels
3740, Tisara Hotels, Tisara Hotels
3741, Anantaya Resorts and Spas, Anantaya Resorts and Spas
4817, CN Gloria G-Luxe, CN Gloria Plaza
4818, CN Gloria Resorts, CN Gloria Plaza
3743, CN Gloria Plaza Hotels, CN Gloria Plaza
4819, CN Gloria Grand Hotels, CN Gloria Plaza
4822, CN Gloria GtEL, CN Gloria Plaza
3766, Ilunion, Ilunion
3753, CN OCT, CN OCT
2415, Recommended, Recommended
3755, CN Empark, CN Empark
2412, Residhotel, Residhotel
2410, Corus Hotels, Corus Hotels
3760, CN Pod Inns, CN Pod Inns
